TypovÈ oznaËenÌ;Artikl;V˝robce;N·zev;»Ìslo dÌlu v˝robce;V˝bÏhov˝ dÌl;status
V304679;3000888;;Gitterbahn Lanz 40x75, A4 L=455  V304679;;;H
V304925;3000889;;Gitterbahn Lanz 40x75, A4 L=1280 V304925;;;H
;3000895;SCHALTAG;D¸nnteiganlage Basis Komm. 1455/10;;;H
SCHALTPLAN 253084;3000896;SCHALTAG;Rozvadec Willy dle schematu 253084;;;H
P-504147, EBEWE PHARMA;3000897;SCHALTAG;Cabinet SS PST-H  P-504147  12075;;;H
P-504147, EBEWE PHARMA;3000898;SCHALTAG;Buskasten KR PST-H  P-504147  12075;;;H
;3000899;SCHALTAG;Polyline PMML111         Komm. 1421/50;;;H
KR606354;3000902;SCHALTAG;Schaltschrank Fˆrderband 230VAC KB7020;;;H
FA-3058491;3000903;SCHALTAG;E-RET BAK SAW Seagate UK 20  FA-3058491;;;H
P-504148, EBEWE PHARMA, EQ. 11062;3000904;SCHALTAG;Cabinet SS PST-H  P-504148  11062;;;H
P-504148, EBEWE PHARMA, EQ. 11062;3000905;SCHALTAG;Buskasten KR PST-H  P-504148  11062;;;H
;3000906;SCHALTAG;Polyline PMML111         Komm. 1925 / 10;;;H
;3000911;SCHALTAG;Polyline PMML112          Komm. 40067381;;;H
SCHALTPLAN 252967;3000912;SCHALTAG;Rozvadec Willy dle schematu 252967;;;H
300473;3000914;SCHALTAG;E-RET 300473 CLN2 200II TU    FA-xxxxxxx;;;H
300414;3000915;;E-RET 300473 CLN2 200II TU  FA-3055457;;;
;3000918;SCHALTAG;Polyline PMML113 Basis  Kom. 20000491/20;;;H
;3000920;SCHALTAG;Polyline PMML113 Basis  Kom. 20000485/20;;;H
;3000921;SCHALTAG;E-Komponenten PSC 303 retrofit;;;H
KR605222;3000922;SCHALTAG;Steuerung KD7075AA/CEIA     Kr‰mer;;;H
MD ART-EC-0001/0002;3000931;SCHALTAG;Electrical Cabinet TRIX 2, UL;;;H
SCHALTPLAN 253133;3000933;SCHALTAG;Rozvadec Willy dle schematu 253133;;;H
;3000935;SCHALTAG;Kalibrierer AC ZKWV.A Komm. 20000410/120;;;H
